site_id,case_id,z_agl_m,u,v,w,ws,wd,T,q,wind_dir_inflow,u_hub_inflow
TRN,case_ts001,20.0,3.129669427871704,-1.9116785526275635,-0.14166724681854248,3.667334794998169,301.4176025390625,284.5529479980469,0.0065572126768529415,280.1000061035156,3.1079394817352295
TRN,case_ts001,40.0,3.418956756591797,-2.098237991333008,-0.09450992941856384,4.011466979980469,301.5377197265625,284.4898681640625,0.006554789375513792,280.1000061035156,3.1079394817352295
TRN,case_ts001,60.0,3.60886549949646,-2.238785743713379,-0.0690988078713417,4.246889591217041,301.8136901855469,284.4222412109375,0.0065520405769348145,280.1000061035156,3.1079394817352295
TRN,case_ts001,80.0,3.764784574508667,-2.372208595275879,-0.04667758196592331,4.449828624725342,302.2152099609375,284.3476257324219,0.006548830773681402,280.1000061035156,3.1079394817352295
TRN,case_ts001,85.0,3.697643518447876,-2.315084934234619,-0.01987677998840809,4.362589359283447,302.0505676269531,284.349853515625,0.006548866629600525,280.1000061035156,3.1079394817352295
TRN,case_ts001,105.0,3.909496784210205,-2.5132086277008057,-0.027348589152097702,4.647621154785156,302.73480224609375,284.261962890625,0.006544928997755051,280.1000061035156,3.1079394817352295
TRN,case_ts001,130.0,4.053954601287842,-2.6699697971343994,-0.011057593859732151,4.854202747344971,303.3692626953125,284.1611328125,0.006540047004818916,280.1000061035156,3.1079394817352295
TRN,case_ts001,155.0,4.205155849456787,-2.8487136363983154,0.003025406040251255,5.079223155975342,304.1150207519531,284.0406494140625,0.006533809471875429,280.1000061035156,3.1079394817352295
TRN,case_ts001,160.0,4.1794233322143555,-2.8090298175811768,-0.005147348623722792,5.0356950759887695,303.9054260253906,284.0515441894531,0.0065343547612428665,280.1000061035156,3.1079394817352295
TRN,case_ts001,185.0,4.368603706359863,-3.054750680923462,0.015666989609599113,5.330684661865234,304.96319580078125,283.8955383300781,0.006525701843202114,280.1000061035156,3.1079394817352295
TRN,case_ts001,215.0,4.54979133605957,-3.293086051940918,0.027514362707734108,5.616495132446289,305.8965759277344,283.7195129394531,0.006514961831271648,280.1000061035156,3.1079394817352295
